word,freq
anavyotengeneza,1
anawa,1
anayeceza,1
anayefika,1
anayemsaidia,1
anayotumia,1
angalisho,1
ange,1
anisaidie,1
anita,4
anwani,1
anwari,1
aone,1
apenda,1
asaidia,2
asaidiwa,1
Asha,2
asimharifu,1
askari,3
asubuhi,1
asubui,5
Asudi,1
ataeneza,1
atahukumiwa,1
ataikunjua,1
atakwenda,2
atasafiri,1
atatoka,1
ataumizwa,1
ataweza,1
atembeaye,1
atengeneza,1
atie,1
atumia,2
atumika,1
atumike,1
atwae,1
aunguza,1
Auzisha,1
avaa,1
Azia,1
baadaye,2
baba,7
babake,2
babao,1
babetu,1
bahati,4
Banana,1
Bandari,1
bara,3
baridi,3
barua,1
Basi,7
bata,3
Bendera,1
biashara,3
bibi,5
bila,7
bilauri,1
bonde,1
bu,1
Buhendwa,7
bukama,1
bukavu,3
bunduki,1
Bushiri,1
bustani,10
bwana,11
ca,4
cace,2
cake,4
cako,1
cakula,7
cakule,1
calewasha,1
cangu,1
Cawa,1
Cibangu,1
Cikapa,1
ciluba,1
Cimanga,2
cimbo,1
cini,7
Comba,2
congo,4
coo,1
cui,6
Cuo,1
dada,3
dadake,1
dadaye,1
dakika,1
damu,1
darasani,2
dawa,3
deni,1
desturi,1
dirisha,1
Divai,1
duka,1
dukani,1
dunia,3
duniani,2
Ekwatoria,1
Elia,1
Elila,1
Eloko,1
eneo,2
Faradje,2
Fataki,1
Fatuma,1
feza,2
Fisi,1
Fundi,1
funza,3
furaha,1
Ganda,1
gani,7
gari,3
Gemena,1
gerezani,1
Ginsi,1
Giza,1
Gombari,1
habari,1
hadisi,3
hafanyi,1
Haifai,1
haikupita,1
haitavunwa,1
hakika,3
hakimbi,1
hakina,1
hakitanuka,1
hakosi,2
hakounekana,1
hakuna,1
hakupata,1
hakuweza,1
haliumi,1
hama,1
Hamedi,1
hamu,2
hana,5
hanilishe,1
hanionyeshi,1
hao,1
haonekani,1
hapa,3
hapendi,2
hapo,3
hapohapo,1
haraka,1
hasa,1
hasikii,1
hasira,1
hata,3
hataki,1
hatambui,1
hatari,2
hatarini,1
hatua,1
haumwi,1
hauoti,1
hawa,7
hawakai,1
hawakuwa,3
hawalali,1
hawapendi,1
hawawezi,1
hawezi,6
haya,6
hayakosi,1
hayo,3
heri,1
Herufi,1
hesabu,2
Hi,1
hii,5
hiki,1
hili,2
hivi,5
hivyo,1
hiyo,2
hizi,1
hizo,1
hodari,4
homa,3
hospitali,1
hospitalini,2
hucimbwa,2
huenda,1
hukaa,2
huko,1
huku,2
hulima,1
humu,1
huna,1
huo,1
hupatikana,2
hupendi,1
hupita,1
huu,6
huyo,1
huyu,15
iIi,1
Iililo_kimbia,1
ikafika,1
ikamletea,1
ikaungua,1
ila,1
ile,16
ili,2
ilifanyika,1
ilikuwa,3
ilimezwa,1
Ilipotimia,1
iliyokufa,1
iliyoota,1
iliyopandwa,1
iliyotoka,1
iliyotupwa,1
imeharibika,1
imejengwa,1
imekatika,1
imekunjama,1
Imemmeza,1
imemrarua,1
imemrukia,1
imemuumiza,1
imepiga,1
imeshonwa,1
imevunjwa,1
ina,8
inaendelea,2
Inafaa,1
inakula,1
inamfalia,1
inanibana,1
inapatikana,1
inapopandishwa,1
ine,2
inenaswa,1
ingine,1
Inongo,1
ipatikanayo,1
Isa,3
Isimba,1
itacinjwa,1
Itatupatia,1
Iteni,1
jaa,1
Jafari,2
jamaa,1
jamhuri,4
Ja_huri,1
jana,2
Je,2
jembe,2
jeshi,1
jikoni,1
jimbo,10
jina,1
Jino,1
Jipu,1
jito,1
Jogoo,1
jua,21
juma,3
juu,2
Juzi,1
ka,1
kabalo,2
Kabambare,1
kabasele,1
kabati,1
kabeya,4
kabisa,7
kabumbu,1
kabwa,1
Kailo,1
Kakule,1
kalala,3
kalanga,1
kale,1
kalemie,1
kali,5
Kalima,1
kalume,1
kama,11
kamba,1
kamwe,1
kandokando,2
Kandolo,6
kanya,1
kanzu,2
kapitura,1
kaputul,1
karamu,4
karamuni,1
karibu,5
kasamika,1
Kasapa,1
kasiteriti,1
kaskazini,2
Kasongo,3
kati,4
katika,19
katikati,1
kavu,2
kazi,22
kazini,1
kelele,3
kenda,2
Kesho,2
kibaya,1
kiboko,13
kicwa,5
kidevuni,1
kidogo,1
kidoleni,1
kifua,2
kiganga,3
kiisha,13
kijiji,1
kikongo,1
kikoozi,1
Kikuu,1
kila,18
kilikuwa,1
Kilo-moto,1
Kilo-Moto,1
kima,10
kimeharibika,1
kimekausha,1
kimya,2
kinacopatikana,1
kinajaa,2
kingwana,1
kino,1
Kinshasa,1
kinvulini,1
kinywa,7
kinywaji,1
kinywajica,1
kinywania,1
kipande,2
Kipushi,3
Kipwa,1
kirefu,1
Kisahani,1
Kisangani,1
kisu,2
Kiswahili,3
kitabu,2
kitambo,1
kitamu,1
kitini,1
kitu,2
kiunguwa,1
kivu,4
kizuri,3
klngi,1
kobe,1
kofia,1
Kolwezi,1
Kompani,1
Kongolo,2
koti,1
kualikwa,1
kuanza,1
kubeba,1
kubwa,7
kuca,1
kuceza,2
kucimba,1
Kucimbua,1
kucoka,1
kucukua,1
kufa,1
kufagia,1
Kufanva,1
kufanya,4
kufika,2
kuginga,1
kuhesabu,1
kuiba,1
kuimba,1
kuingia,1
kuipanda,1
kuishi,2
kuiuzisha,1
kuja,1
kujikinga,1
kujitembeza,1
kujua,1
kukawia,1
kukifikia,1
kukimbia,3
kuku,15
kukua,1
kukutana,1
kula,6
kulala,1
kule,7
kulewa,2
kuliko,2
kumbe,1
kumbebea,1
kumbusu,1
kumi,12
kumponya,1
ku_shusha,1
ku_tazama,1
kumuaca,1
kumuomba,1
kumwangia,1
kuna,3
kunapatikana,1
kunawa,1
kunguru,7
kununua,2
kunywa,2
kunza,1
kuogelea,1
kuombaomba,1
Kuona,1
kuonana,1
kuota,1
kuoza,1
kupalia,1
kupangwa,1
kupasua,1
kupata,1
kupiga,1
kupita,1
kuranda,1
kurefu,1
kuregea,1
kurudi,1
kusema,4
kushiba,1
kushuka,1
kushusha,1
kushushwa,1
kusikia,3
kusita,2
kusoma,3
kutafuta,2
kutembea,2
kutoka,2
kutokea,1
kutoonana,1
kutulisha,1
kuu,1
kuunguzwa,2
kuuvuna,1
kuvaa,1
kuvuka,2
kuvuta,1
kuwa,3
kuwaambia,1
kuwaona,1
kuwasha,1
kuwatazama,1
kuwatunza,1
kuwaunguza,1
kuweza,1
kuyapakaa,1
kuzaa,1
kuzalisha,1
kwa,27
kwake,3
kwako,1
kwangu,2
kwani,11
kwanza,5
kwao,2
kweli,11
kwenda,4
kwendan,1
kwetu,2
la,47
lake,6
lakini,7
lako,1
langu,1
lazima,3
leo,14
leso,1
letu,3
likasi,3
lile,1
lililombeba,1
lilllomflcama,1
limefanya,1
limekatika,1
limeongolewa,1
linajaa,1
linalopatikana,1
linauma,1
Lingala,1
Lito,1
Liwali,1
lualaba,2
Lubile,2
lubumbashi,2
luga,3
Luvua,1
Lwembe,1
maajabu,1
maana,1
mabandazi,1
mabaya,1
mabuku,1
maco,3
macungwa,1
macupa,1
madani,1
madawa,1
madini,9
madirisha,2
madoadoa,1
mafua,2
Mafungo,1
mafuta,1
magonjwa,5
mahalagi,3
mahitaji,1
maisha,1
majani,6
majembe,1
maji,5
majifu,1
majini,1
makamasi,1
makumi,6
makuta,1
mali,1
malipizi,1
mama,6
Mama-feza,1
mama-kalume,1
Mamake,1
mamba,8
mananasi,1
mane,1
maneno,2
mangaribi,1
Maniema,1
manyoya,2
mapema,2
mara,3
marafiki,5
marefu,2
mashamba,7
mashani,1
mashariki,1
mashauri,1
mashindano,1
masikio,3
masiko,1
maskini,1
masomo,2
masomoni,3
Masudi,8
Matadi,1
matamko,1
matano,1
matata,1
Matawi,1
matembezi,1
matisho,1
matope,1
maumivu,2
mavazi,5
mavuno,2
mawili,8
mawindo,1
Mayayi,1
mazuri,1
mbali,2
mbalimbali,1
mbao,4
mbaya,1
mbeketi,1
mbele,5
mbili,6
mbingu,1
mbinguni,1
mboga,7
mbovu,1
mbukwa,1
mbuzi,1
mbwa,10
_cafu,1
mcana,2
_cana,2
_cele,1
_cezo,1
mcimbo,1
_cokozi,1
_coyo,1
_cuuzi,2
_cuzi,1
_cwa,1
mda,3
mdomoni,1
mengi,5
meupe,1
meza,1
_fanya,1
mfuku,1
_fundi,1
mfuniko,1
mfupa,1
mfupi,1
mganga,5
_ganga,3
Mgeni,2
mgi,2
_gi,2
mgini,2
_gomba,1
mgongoni,1
_gonjwa,1
mguuni,1
mharibifu,1
mhogo,1
Mhuni,1
mia,1
micezo,1
micikici,1
midomoni,2
mifano,1
migi,2
miguu,4
mihindi,3
mihogo,3
_Iimaji,1
mikononi,1
milango,1
milima,2
mimba,2
mimea,7
Mimi,1
mingi,1
mipanga,1
mipira,1
mirefu,1
mishaara,1
mishumaa,1
misumari,1
mitatu,1
mitego,1
miti,3
mitindo,1
mito,1
mitumbwi,1
miwa,1
mji,6
_ji,1
mjinga,1
_jinga,2
mjini,1
_jini,1
_jomba,2
mjukuu,1
mjusi,1
mkali,1
mkate,1
_kate,3
mke,1
mkekani,1
Mkia,1
Mkono,2
_kubwa,1
mkuki,1
_kulima,1
mlaji,1
_laji,1
mlangop,1
mlima,2
Mlimaji,2
_limaji,2
_limo,2
Mlmi,1
mmea,2
mmoja,7
_moja,4
mnara,1
mnene,1
mngazi,1
_ngazi,1
mno,3
_no,3
mnono,1
mnyenyekevu,1
_nyororo,1
moja,18
moshi,1
moto,13
Motoka,1
motokaa,1
motoni,2
mototo,1
motto,3
_otto,1
moyo,6
mpaka,2
_paka,4
mpakan,1
_panga,1
mpaya,1
_pini,1
Mpishi,2
mpotevu,1
mpumbafu,1
_pumbafu,1
mpumbavu,1
_pumbavu,1
mpunga,3
_punga,1
mpuuzi,1
mpya,1
mrabe,1
mrefu,8
_refu,4
_saada,1
msafiri,2
msaidia,1
msermala,2
_sermale,1
mshipi,1
Mshonaji,1
mshumaa,1
msiba,1
msumeno,1
_sumeno,1
mtajiri,1
_tajiri,1
mtalimbo,1
mtama,1
mtamu,2
_tamu,1
mtaratibu,1
_taratibu,1
_tego,1
mti,1
_ti,2
mtini,1
mto,1
_to,1
mtoni,1
mtoto,8
_toto,10
mtu,7
_tu,1
mtumishi,2
_tumishi,1
mtunza,1
muda,1
Mudaka,1
muhu,3
mule,1
mulikuwa,1
mulumba,1
mumeficwa,1
mumepandwa,1
muna,1
munajaa,2
munamo,2
munamocimbwa,1
munapatikana,1
Muumba,5
muwa,4
_viringo,1
mvuvi,1
mwa,3
mwaka,5
mwake,3
mwalimu,8
mwanafunzi,4
mwanamke,3
Mwananci,2
mwanaume,2
mwaona,1
mwaribifu,1
mwema,2
mwembe,1
mwendo,1
mwenyewe,1
mwenyi,2
mwenziwe,1
mwerevu,3
mwezi,5
mwili,4
mwingi,1
mwitu,1
myaka,5
myezi,1
myingi,1
mzaifu,1
Mzee,3
_zee,3
mzigo,1
_zigo,1
_zito,2
Mzizi,1
_zoga,1
mzuri,1
na,188
nafasi,2
namanjano,1
nami,2
namna,4
na_na,1
nane,2
nani,1
nao,2
napohesabu,1
nawe,3
naye,8
nca,1
nci,6
ndani,5
ndefu,2
ndege,1
ndevu,7
Ndio,1
ndipo,2
Ndiyo,1
ndizi,1
ndoa,2
ngambo,4
ngombe,2
ngozi,1
ngumu,2
nguo,1
nguruwe,3
nguvu,2
ni,87
Niangara,1
niko,1
nilienda,1
nilikuta,1
Nimemsomea,1
Nimemtwaka,1
ninaona,1
nini,2
nitakamata,2
nitakusaidia,1
nita_coma,1
nitamjibu,1
Nitamngoja,1
nitampelekea,1
nitamuomba,1
njaa,10
nje,1
njema,2
njia,1
njiani,5
nu,1
nyakati,1
nyama,10
Nyangezi,1
nyavu,1
Nyembo,2
nyeusi,1
nyingi,7
nyingine,1
nyoka,2
nyota,3
Nyuma,1
nyumba,6
nyumbani,3
nywele,1
Nzi,1
nzima,1
nzuri,4
ole,3
Omari,2
ona,4
Opala,1
pa,1
Paepale,1
paka,2
pake,1
pale,6
Palepale,1
pamoja,3
Panzi,1
penyi,1
petu,1
pia,6
piga,1
pili,5
pilipili,1
polepole,1
pombe,4
popo,12
pori,2
porini,9
pua,3
Pweto,1
Radi,1
rafiki,13
Ramazani,1
randa,2
razi,1
ria,1
Ruwenzori,2
Rwanda,1
saa,2
saba,5
sababu,10
sabahu,1
sabuni,1
safari,2
safi,3
sahani,1
saidi,1
Sakania,1
Salumu,3
samaki,10
sana,49
sanduku,1
sasa,5
satu,2
sauti,1
sawa,3
seheinu,1
sehemu,2
Selemani,2
Senteri,1
shaba,5
Shabani,2
Shabunda,1
shamba,5
shambani,2
Shambuyi,1
shati,2
Sherti,1
shimoni,1
Shindano,1
shoka,1
shuu,1
si,4
siendi,1
sigareti,1
siku,30
sikubwa,1
sina,1
Sinayo,1
Singa,1
Sipati,1
sisi,1
sita,4
sitaweza,1
siwezi,1
Soko,1
sokoni,6
sombe,1
somo,23
somoni,1
somu,1
sultani,1
Sumaili,6
sungura,10
sura,1
suruali,1
swala,5
tajiri,1
Tambwe,1
tamu,1
Tanganika,1
tangu,5
tano,4
tatu,12
tawini,1
tazama,1
tele,4
tembo,1
tena,13
to,1
tokea,4
tomate,1
tu,6
tue,1
Tufuate,1
tuheshimu,1
tukae,2
tukitaka,1
tulikuta,1
tuliwasha,1
Tumba,1
tumbo,3
tumboni,1
tumempokea,1
Tumenunua,1
tumesoma,1
turudie,1
tushike,1
tusimame,1
tutakula,1
tutii,1
twaona,1
twiga,2
Ubangi,1
ucafu,1
udereva,1
udongo,2
udongoni,1
Uele,2
ufike,1
ufugo,1
ufundi,1
ukaanguka,1
Ukipenda,1
Ukisafisha,1
ukiwa,1
uko,1
Ulalo,1
Ulaya,1
ule,4
ulibaki,2
ulikataa,1
ulikonibebea,1
ulikwisha,1
ulivuma,1
uliwafanya,1
uliyonzwa,1
Umande,1
Umba,1
umeanzwa,1
umeitwa,1
umejengwa,1
umenisaidia,1
umevumbuliwa,2
umezimika,1
unaokosa,1
unayemtembelea,1
unga,1
uniwe,1
Upanda,1
Upande,1
upatikanapo,1
Upemba,1
upepo,1
upesi,1
urafiki,2
usaa,1
usemayo,1
useni,2
ushoni,1
usijiumize,1
usiku,6
usimcokoze,1
usiofutika,1
usiokuwa,1
usoni,1
utamu,2
uvivu,1
uvuvi,1
uwani,1
Uwanjani,1
Vaa,1
vema,3
viato,1
viatu,2
vibaya,4
viberiti,1
vicwa,1
vidogo,1
Vidonda,1
vidudu,2
vikali,2
vikwembe,2
vile,6
vilema,3
vile_a,1
vimefungwa,1
vimejaa,1
vingi,2
vingine,1
vipya,2
Visahani,1
visheta,3
vita,2
vitanda,1
vitano,1
vitapona,1
viti,1
vitika,1
vitu,3
vitunguu,1
vivihivi,5
viwili,1
vizuri,3
vumbi,1
vya,6
vyafonza,1
vyakula,1
vyanunulika,1
vyeusi,1
vyombo,4
vyote,1
vyte,1
vyuma,1
vyumba,1
wa,58
waanza,1
Waaskari,1
Wabinti,1
wacafu,2
waende,2
wafanya,1
wafuatwa,1
waganga,1
Wagenya,1
wagonjwa,2
waipeleka,1
wajicanua,1
wajifunza,1
wajionyesha,1
wajiweke,1
wajua,1
wakaa,5
wakaaji,3
wakabaki,1
wakaenda,1
wakafanya,1
Wakafuatana,1
wakafululiza,1
Wakafunga,1
Wakaishi,1
wakaita,1
wakajaliwa,1
wakakata,1
wakakusanyana,1
wakakusanyika,2
Wakakuta,1
wakala,1
wakamkimbia,1
wakamuendea,1
wakanywa,1
wakaona,1
wakaondoka,1
wakapata,1
wakapendana,1
wakaregea,1
wakashikwa,1
wakasimama,1
wakatapita,1
wakati,6
wakazaa,1
wake,15
wakiisha,1
wakijiepusha,1
wakikunywa,1
wakima,1
wakitembea,1
wako,1
wakubwa,1
wale,2
wali,7
walienda,1
walikosa,1
walikuwa,6
walimaji,2
walioiba,1
waliokuwa,1
waliondoka,1
walipashwa,1
walipigwa,1
Walipofika,2
Waliporudi,1
waliposikia,2
walirudi,1
walitoka,1
waliunga,1
wamama,1
Wamecinja,1
wamekwisha,1
wamelipwa,1
wamenasa,1
wameumia,1
wameuwa,1
wamoja,1
wa_tembelee,1
wana,2
wanafunzi,2
wanafurahi,1
wanaiga,1
wanajua,1
wanakocimba,1
wanakofuata,1
wanakula,1
wanalima,1
wanamheshimu,1
wana_penda,1
Wananci,1
Wana_ci,1
wananikimbia,1
wanaocimba,1
wanaolia,1
wanaonekana,1
wanaongoja,1
wanapashwa,1
wanapokwenda,1
Wanapoturiza,1
wanateswa,1
wanaume,2
wanawake,2
wanawasaidia,1
wanazopata,1
wane,2
wangu,3
Wangwana,1
wanono,1
wanuka,1
wanunulia,1
wanyama,13
wao,9
wasema,2
wasermala,1
wasioenda,1
wasionane,1
watafuata,1
watafukuzawa,1
watakula,1
watampeleke,1
watasafiri,1
watatu,1
watelemushwa,1
watoto,22
Watsa,2
watu,16
Watu-visbeta,1
watupwa,1
wauguzi,2
wavaa,3
wavivu,1
wavua,1
wavuvi,4
wawili,6
wawindaji,2
wazazi,2
wazi,2
Wazungu,1
wengi,5
wengine,4
wenzake,2
wetu,5
weusi,1
wevi,1
wewe,6
wimbo,2
woga,3
wote,22
ya,96
Yafari,1
yakama,1
yake,27
yako,1
yalianguka,1
yalikuwa,1
yalivunjwa,1
yaliyokaushwa,1
yam,1
yameisha,1
yamekunjwa,1
yamekwisha,1
yamerushwa,1
yamesagwa,1
yamji,1
yanayoitwa,1
yanayoletwa,1
yangu,4
yao,9
yaogopwa,1
yapata,1
yapatikana,2
yawika,1
Yayi,1
yenu,1
yetu,6
yeye,12
Yezi,1
yote,7
yuko,1
yule,7
yule-_zee,1
za,9
zafugwa,1
zahabu,1
zaharibu,1
zaidi,1
Zaina,1
Zainatu,1
Zaire,1
zake,9
Zamani,4
zambia,2
zao,2
zapokea,1
Zeze,1
zikitoka,1
zilikuwa,1
zimeibwa,1
zimemuumiza,1
zinayo,1
ziwa,3
zote,5
adui,1
afia,1
ajabu,1
aje,1
alileta,1
aliogelea,1
alipata,1
Alituletea,1
amefurahi,1
amejiumiza,1
amekataa,2
amekifica,1
ameleta,1
ameninunulia,1
amenishonea,2
amenunua,2
amepikia,1
amepona,1
amerudi,2
ameshuka,1
ametaka,2
ametuletea,1
ameua,1
ameumia,2
anabakia,1
anabeba,1
anafika,1
anaiogopa,1
anakata,1
analala,2
analea,1
analeta,1
analia,2
analialia,3
Anameza,1
Ananawa,1
ananenanena,1
Anania,1
ananunua,4
ananunulia,1
anaona,1
Anapata,1
anapika,1
Anaporudi,1
anashuka,1
anasikia,1
Anasikiliza,1
anasoma,2
anatafuta,1
anatumia,1
anawaletea,1
Anawasalimia,1
anayatia,1
Anayoleta,1
apate,1
asali,3
asalini,1
asani,7
atabeba,1
atakataa,1
Atanunua,1
ataota,1
baba-lito,4
Boma,1
buibui,3
cai,1
cupa,1
daima,1
epukeni,1
fahamu,1
faida,2
gotini,1
Haikuoza,1
haina,1
hakuiona,1
Hakukiona,1
halikutoka,1
Hataweza,1
hatuna,1
hawana,2
Hawatii,1
hazipatani,1
hema,2
hemani,1
hico,1
hilo,1
himecaca,1
hodi,3
ikilia,1
imeharibu,1
imemuuma,1
imeua,2
imevuma,1
Imo,1
inalala,1
inameza,1
inanuka,1
inaona,1
Inasema,1
inatafuta,1
inatazama,1
inatimia,1
inaua,1
inawika,1
Inayo,1
inayoleta,1
jasho,1
jiwe,1
joto,1
kabatini,3
kalamu,2
Kamateni,1
kamili,1
kidudu,1
Kiilimani,1
kijijini,2
kikali,1
kiko,3
kile,1
kilimani,1
kilio,1
kimemuuma,1
kimetua,1
kimeuma,1
kinene,2
kini,1
kinini,4
kinu,2
kipepeo,2
kiti,2
kiu,2
kiwiliwili,1
kiyoo,5
konokono,3
kufuli,1
kukamata,1
kukosa,1
kulibeba,1
Kulikuwa,1
kuni,6
kunyamaza,1
kupika,2
kupona,1
kusikiliza,1
kuti,1
kutii,1
Kutokan,1
kuziri,1
limebomolewa,1
Linaleta,1
Litio,1
lolo,3
Looo,1
ma,1
mabata,3
mabawa,1
maboga,2
magoti,1
maiti,1
maka,1
makaa,1
makaku,2
makasi,1
manene,6
manono,1
mapapayi,1
mashavu,1
Mashuari,1
mateka,1
mateso,1
matete,5
mateten,1
maua,5
maziwa,5
Meno,1
Mezani,1
mibaya,2
mifuki,1
miiba,1
mikate,4
mikono,4
mikuki,1
milimani,1
mitamu,1
mitano,1
mizizi,1
mizuri,1
Muhamedi,1
munema,1
musiki,1
Muziki,1
Nana,2
Nanasi,1
nataka,1
nene,4
niletee,1
Nimekata,1
Nimeona,1
Nina,2
Ninainona,1
Ninamuona,1
Ninataka,1
Ninawalatea,1
nitamu,2
Nunueni,1
nusu,1
nyeupe,1
Nyinyi,1
nyuki,5
nyuta,1
Ogopa,1
onen,1
Oneni,3
Ooo,1
pana,2
panya,2
papaya,1
Pepo,1
Pipa,1
popote,3
radio,2
Rehema,1
robo,1
sanamu,1
Siafu,1
sifa,1
Sikieni,1
sitakiaca,1
sukari,1
taa,1
tabu,3
tawi,1
tazameni,1
tito,1
tuko,1
tuliogelea,1
tumesikia,1
tuna,1
tunanawa,1
Tutakaa,1
Tutakuwa,1
tuzo,1
ua,5
ueni,1
Ufagio,1
ugali,1
Ukitaka,1
ukitupe,1
ukulima,1
ukuta,1
ukutani,2
ulikuwa,1
una,3
unawaka,2
uso,1
Utikise,1
utuletee,1
Viazi,1
vimeharibu,1
vinene,1
virefu,1
Vitabu,1
wakosa,1
wakulima,1
wameaca,1
wameceza,1
wamefanya,1
wamefika,1
wameiba,1
wamekata,2
Wamekuta,1
wameleta,1
wametega,1
wametuletea,1
Wameyatia,1
wanacukua,1
Wanahasabu,1
Wanaitia,1
wanakaa,5
Wanakuja,1
wananawa,2
wanaona,1
wanarudi,1
wanatoka,1
wanaua,1
wanazoea,1
wanewaletea,1
washonaji,1
wasiofuata,1
wasiotii,1
watahazibiwa,1
wataleta,1
Watapata,1
watatuleletea,1
wataua,1
Watotot,1
wavaceza,1
Wazee,1
wema,1
Wtahazibiwa,1
yamo,1
Yuma,2
yumo,1
Yuna,1
zawadi,2
zinameza,1
ziwani,1
